date,grams,price
2022-09-22,10,47708.27
2022-09-23,10,47652.49
2022-09-24,10,47676.27
2022-09-25,10,47764.18
2022-09-26,10,47724.86
2022-09-27,10,47702.51
2022-09-28,10,47706.8
2022-09-29,10,47686.96
2022-09-30,10,47625.23
2022-10-01,10,47628.27
2022-10-02,10,47586.08
2022-10-03,10,47605.33
2022-10-04,10,47568.85
2022-10-05,10,47631.15
2022-10-06,10,47600.12
2022-10-07,10,47587.53
2022-10-08,10,47620.37
2022-10-09,10,47571.44
2022-10-10,10,47580.84
2022-10-11,10,47633.42
2022-10-12,10,47569.42
2022-10-13,10,47577.11
2022-10-14,10,47587.81
2022-10-15,10,47619.38
2022-10-16,10,47570.2
2022-10-17,10,47517.68
2022-10-18,10,47538.86
2022-10-19,10,47551.04
2022-10-20,10,47561.36
2022-10-21,10,47575.52
2022-10-22,10,47548.62
2022-10-23,10,47558.21
2022-10-24,10,47570.23
2022-10-25,10,47541.95
2022-10-26,10,47616.89
2022-10-27,10,47636.14
2022-10-28,10,47588.79
2022-10-29,10,47615.35
2022-10-30,10,47576.66
2022-10-31,10,47608.44
2022-11-01,10,47655.09
2022-11-02,10,47622.56
2022-11-03,10,47661.4
2022-11-04,10,47678.21
2022-11-05,10,47711.39
2022-11-06,10,47787.56
2022-11-07,10,47778.05
2022-11-08,10,47748.2
2022-11-09,10,47712.92
2022-11-10,10,47680.58
2022-11-11,10,47677.8
2022-11-12,10,47691.75
2022-11-13,10,47703.11
2022-11-14,10,47736.5
2022-11-15,10,47737.32
2022-11-16,10,47795.76
2022-11-17,10,47785.48
2022-11-18,10,47894.58
2022-11-19,10,47919.91
2022-11-20,10,47885.92
2022-11-21,10,47843.39
2022-11-22,10,47862.99
2022-11-23,10,47854.35
2022-11-24,10,47883.21
2022-11-25,10,47902.44
2022-11-26,10,47899.82
2022-11-27,10,47866.25
2022-11-28,10,47805.96
2022-11-29,10,47788.4
2022-11-30,10,47822.95
2022-12-01,10,47831.82
2022-12-02,10,47782.29
2022-12-03,10,47789.52
2022-12-04,10,47805.23
2022-12-05,10,47770.17
2022-12-06,10,47776.62
2022-12-07,10,47779.25
2022-12-08,10,47733.83
2022-12-09,10,47748.44
2022-12-10,10,47771.18
2022-12-11,10,47814.8
2022-12-12,10,47857.25
2022-12-13,10,47802.44
2022-12-14,10,47765.23
2022-12-15,10,47786.13
2022-12-16,10,47806.98
2022-12-17,10,47827.88
2022-12-18,10,47982.29
2022-12-19,10,48005.43
2022-12-20,10,48051.15
2022-12-21,10,48089.61
2022-12-22,10,48115.97
2022-12-23,10,48103.66
2022-12-24,10,48134.32
2022-12-25,10,48103.7
2022-12-26,10,48094.53
2022-12-27,10,48075.42
2022-12-28,10,48078.99
2022-12-29,10,48171.88
2022-12-30,10,48097.49
2022-12-31,10,48125.24
2023-01-01,10,48061.03
2023-01-02,10,48042.45
2023-01-03,10,48086.31
2023-01-04,10,48089.18
2023-01-05,10,48046.37
2023-01-06,10,48018.06
2023-01-07,10,48045.54
2023-01-08,10,48016.63
2023-01-09,10,48025.59
2023-01-10,10,48027.71
2023-01-11,10,48001.94
2023-01-12,10,48088.0
2023-01-13,10,48113.66
2023-01-14,10,48032.95
2023-01-15,10,48040.71
2023-01-16,10,48014.54
2023-01-17,10,48048.94
2023-01-18,10,48017.54
2023-01-19,10,48013.25
2023-01-20,10,48033.75
2023-01-21,10,48068.68
2023-01-22,10,48020.96
2023-01-23,10,48007.88
2023-01-24,10,47989.19
2023-01-25,10,47963.35
2023-01-26,10,48034.27
2023-01-27,10,48050.77
2023-01-28,10,48000.64
2023-01-29,10,48037.65
2023-01-30,10,48122.84
2023-01-31,10,48164.43
2023-02-01,10,48103.96
2023-02-02,10,48084.89
2023-02-03,10,48135.87
2023-02-04,10,48107.86
2023-02-05,10,48125.91
2023-02-06,10,48157.2
2023-02-07,10,48120.42
2023-02-08,10,48118.34
2023-02-09,10,47988.99
2023-02-10,10,47948.31
2023-02-11,10,47938.51
2023-02-12,10,47888.9
2023-02-13,10,47954.5
2023-02-14,10,47897.59
2023-02-15,10,47880.29
2023-02-16,10,47885.82
2023-02-17,10,47943.77
2023-02-18,10,47886.64
2023-02-19,10,47933.46
2023-02-20,10,47934.17
2023-02-21,10,47895.21
2023-02-22,10,47913.99
2023-02-23,10,47922.26
2023-02-24,10,47898.55
2023-02-25,10,47901.64
2023-02-26,10,47886.53
2023-02-27,10,47891.37
2023-02-28,10,47918.15
2023-03-01,10,47981.89
2023-03-02,10,47932.68
2023-03-03,10,48018.3
2023-03-04,10,47940.52
2023-03-05,10,47934.75
2023-03-06,10,47958.58
2023-03-07,10,47970.12
2023-03-08,10,47945.51
2023-03-09,10,47937.49
2023-03-10,10,47918.07
2023-03-11,10,47894.79
2023-03-12,10,47929.08
2023-03-13,10,47943.66
2023-03-14,10,47916.24
2023-03-15,10,47952.53
2023-03-16,10,47965.12
2023-03-17,10,47997.93
2023-03-18,10,48023.42
2023-03-19,10,47990.56
2023-03-20,10,47968.45
2023-03-21,10,47998.64
2023-03-22,10,48023.36
2023-03-23,10,48022.82
2023-03-24,10,48027.81
2023-03-25,10,48079.22
2023-03-26,10,48055.86
2023-03-27,10,48078.04
2023-03-28,10,48070.25
2023-03-29,10,48061.85
2023-03-30,10,48106.1
2023-03-31,10,48139.41
2023-04-01,10,48172.25
2023-04-02,10,48224.77
2023-04-03,10,48225.91
2023-04-04,10,48253.49
2023-04-05,10,48241.38
2023-04-06,10,48254.65
2023-04-07,10,48249.74
2023-04-08,10,48253.92
2023-04-09,10,48278.03
2023-04-10,10,48245.6
2023-04-11,10,48329.6
2023-04-12,10,48289.65
2023-04-13,10,48241.39
2023-04-14,10,48288.01
2023-04-15,10,48319.98
2023-04-16,10,48345.24
2023-04-17,10,48370.68
2023-04-18,10,48370.49
2023-04-19,10,48334.9
2023-04-20,10,48338.23
2023-04-21,10,48311.44
2023-04-22,10,48350.75
2023-04-23,10,48345.16
2023-04-24,10,48312.44
2023-04-25,10,48299.89
2023-04-26,10,48316.71
2023-04-27,10,48294.46
2023-04-28,10,48261.87
2023-04-29,10,48271.92
2023-04-30,10,48282.01
2023-05-01,10,48262.04
2023-05-02,10,48243.5
2023-05-03,10,48253.08
2023-05-04,10,48195.45
2023-05-05,10,48139.46
2023-05-06,10,48111.02
2023-05-07,10,48102.78
2023-05-08,10,48115.52
2023-05-09,10,48174.83
2023-05-10,10,48209.44
2023-05-11,10,48203.34
2023-05-12,10,48202.88
2023-05-13,10,48163.08
2023-05-14,10,48162.64
2023-05-15,10,48151.39
2023-05-16,10,48164.6
2023-05-17,10,48131.81
2023-05-18,10,48152.88
2023-05-19,10,48214.49
2023-05-20,10,48210.44
2023-05-21,10,48226.81
2023-05-22,10,48254.72
2023-05-23,10,48238.97
2023-05-24,10,48248.23
2023-05-25,10,48249.04
2023-05-26,10,48253.24
2023-05-27,10,48222.62
2023-05-28,10,48223.9
2023-05-29,10,48244.12
2023-05-30,10,48302.47
2023-05-31,10,48341.14
2023-06-01,10,48427.57
2023-06-02,10,48397.17
2023-06-03,10,48432.37
2023-06-04,10,48440.0
2023-06-05,10,48527.89
2023-06-06,10,48495.86
2023-06-07,10,48462.57
2023-06-08,10,48438.9
2023-06-09,10,48354.24
2023-06-10,10,48333.51
2023-06-11,10,48303.44
2023-06-12,10,48309.76
2023-06-13,10,48323.73
2023-06-14,10,48399.08
2023-06-15,10,48437.39
2023-06-16,10,48414.62
2023-06-17,10,48378.98
2023-06-18,10,48398.96
2023-06-19,10,48346.45
2023-06-20,10,48420.01
2023-06-21,10,48467.48
2023-06-22,10,48449.02
2023-06-23,10,48380.79
2023-06-24,10,48435.25
2023-06-25,10,48430.97
2023-06-26,10,48480.78
2023-06-27,10,48417.3
2023-06-28,10,48393.63
2023-06-29,10,48394.14
2023-06-30,10,48396.31
2023-07-01,10,48378.61
2023-07-02,10,48403.83
2023-07-03,10,48361.42
2023-07-04,10,48356.03
2023-07-05,10,48361.14
2023-07-06,10,48382.02
2023-07-07,10,48410.78
2023-07-08,10,48366.09
2023-07-09,10,48305.03
2023-07-10,10,48356.44
2023-07-11,10,48370.03
2023-07-12,10,48340.39
2023-07-13,10,48402.74
2023-07-14,10,48407.66
2023-07-15,10,48455.13
2023-07-16,10,48458.14
2023-07-17,10,48540.87
2023-07-18,10,48611.38
2023-07-19,10,48601.72
2023-07-20,10,48640.88
2023-07-21,10,48667.0
2023-07-22,10,48722.04
2023-07-23,10,48683.75
2023-07-24,10,48711.49
2023-07-25,10,48754.13
2023-07-26,10,48684.08
2023-07-27,10,48637.05
2023-07-28,10,48555.78
2023-07-29,10,48545.3
2023-07-30,10,48574.3
2023-07-31,10,48634.7
2023-08-01,10,48637.96
2023-08-02,10,48703.4
2023-08-03,10,48648.5
2023-08-04,10,48580.67
2023-08-05,10,48578.74
2023-08-06,10,48594.41
2023-08-07,10,48593.4
2023-08-08,10,48511.0
2023-08-09,10,48507.74
2023-08-10,10,48455.86
2023-08-11,10,48482.94
2023-08-12,10,48497.91
2023-08-13,10,48460.61
2023-08-14,10,48440.36
2023-08-15,10,48398.29
2023-08-16,10,48396.08
2023-08-17,10,48434.59
2023-08-18,10,48395.46
2023-08-19,10,48415.92
2023-08-20,10,48395.01
2023-08-21,10,48363.6
2023-08-22,10,48359.61
2023-08-23,10,48318.5
2023-08-24,10,48296.66
2023-08-25,10,48249.04
2023-08-26,10,48327.93
2023-08-27,10,48329.64
2023-08-28,10,48301.95
2023-08-29,10,48310.81
2023-08-30,10,48306.62
2023-08-31,10,48298.08
2023-09-01,10,48322.95
2023-09-02,10,48353.55
2023-09-03,10,48332.63
2023-09-04,10,48309.9
2023-09-05,10,48299.19
2023-09-06,10,48207.42
2023-09-07,10,48147.11
2023-09-08,10,48202.08
2023-09-09,10,48268.18
2023-09-10,10,48258.52
2023-09-11,10,48281.88
2023-09-12,10,48294.63
2023-09-13,10,48418.09
2023-09-14,10,48463.17
2023-09-15,10,48458.36
2023-09-16,10,48420.43
2023-09-17,10,48356.48
2023-09-18,10,48364.91
2023-09-19,10,48334.96
2023-09-20,10,48278.37
2023-09-21,10,48252.81
2023-09-22,10,48209.85
2023-09-23,10,48277.63
2023-09-24,10,48313.2
2023-09-25,10,48313.18
2023-09-26,10,48372.68
2023-09-27,10,48376.07
2023-09-28,10,48341.92
2023-09-29,10,48403.14
2023-09-30,10,48425.0
2023-10-01,10,48383.81
2023-10-02,10,48376.5
2023-10-03,10,48341.77
2023-10-04,10,48286.76
2023-10-05,10,48324.11
2023-10-06,10,48400.78
2023-10-07,10,48345.14
2023-10-08,10,48367.96
2023-10-09,10,48342.23
2023-10-10,10,48323.05
2023-10-11,10,48299.65
2023-10-12,10,48265.39
2023-10-13,10,48267.63
2023-10-14,10,48234.7
2023-10-15,10,48245.81
2023-10-16,10,48244.11
2023-10-17,10,48234.85
2023-10-18,10,48198.84
2023-10-19,10,48176.07
2023-10-20,10,48206.59
2023-10-21,10,48226.93
2023-10-22,10,48188.12
2023-10-23,10,48192.4
2023-10-24,10,48222.75
2023-10-25,10,48156.28
2023-10-26,10,48178.31
2023-10-27,10,48152.11
2023-10-28,10,48175.23
2023-10-29,10,48145.0
2023-10-30,10,48073.1
2023-10-31,10,48008.3
2023-11-01,10,48010.53
2023-11-02,10,48021.21
2023-11-03,10,47985.34
2023-11-04,10,48011.19
2023-11-05,10,47945.03
2023-11-06,10,47942.68
2023-11-07,10,47894.54
2023-11-08,10,47868.77
2023-11-09,10,47870.96
2023-11-10,10,47836.85
2023-11-11,10,47821.77
2023-11-12,10,47862.32
2023-11-13,10,47839.54
2023-11-14,10,47873.27
2023-11-15,10,47828.38
2023-11-16,10,47849.87
2023-11-17,10,47907.84
2023-11-18,10,47809.27
2023-11-19,10,47777.69
2023-11-20,10,47801.08
2023-11-21,10,47793.25
2023-11-22,10,47808.4
2023-11-23,10,47784.54
2023-11-24,10,47788.3
2023-11-25,10,47782.38
2023-11-26,10,47829.39
2023-11-27,10,47839.87
2023-11-28,10,47853.67
2023-11-29,10,47837.5
2023-11-30,10,47818.29
2023-12-01,10,47801.29
2023-12-02,10,47817.37
2023-12-03,10,47800.83
2023-12-04,10,47812.72
2023-12-05,10,47896.03
2023-12-06,10,47931.18
2023-12-07,10,47918.44
2023-12-08,10,47966.79
2023-12-09,10,47950.76
2023-12-10,10,47869.54
2023-12-11,10,47829.52
2023-12-12,10,47754.98
2023-12-13,10,47741.22
2023-12-14,10,47742.26
2023-12-15,10,47809.62
2023-12-16,10,47822.99
2023-12-17,10,47814.53
2023-12-18,10,47848.01
2023-12-19,10,47759.86
2023-12-20,10,47769.59
2023-12-21,10,47800.72
2023-12-22,10,47741.88
2023-12-23,10,47787.93
2023-12-24,10,47801.77
2023-12-25,10,47785.46
2023-12-26,10,47811.07
2023-12-27,10,47902.19
2023-12-28,10,47909.77
2023-12-29,10,47920.0
2023-12-30,10,47901.92
2023-12-31,10,47868.23
2024-01-01,10,47901.74
2024-01-02,10,47867.8
2024-01-03,10,47870.96
2024-01-04,10,47852.16
2024-01-05,10,47871.62
2024-01-06,10,47885.26
2024-01-07,10,47927.06
2024-01-08,10,47906.96
2024-01-09,10,47896.47
2024-01-10,10,47857.62
2024-01-11,10,47840.15
2024-01-12,10,47855.54
2024-01-13,10,47886.12
2024-01-14,10,47849.53
2024-01-15,10,47884.61
2024-01-16,10,47939.14
2024-01-17,10,47955.98
2024-01-18,10,48031.35
2024-01-19,10,48000.7
2024-01-20,10,47951.21
2024-01-21,10,47880.36
2024-01-22,10,47940.5
2024-01-23,10,47966.98
2024-01-24,10,47965.06
2024-01-25,10,47976.55
2024-01-26,10,47931.84
2024-01-27,10,48029.97
2024-01-28,10,48035.43
2024-01-29,10,48040.11
2024-01-30,10,48069.44
2024-01-31,10,48088.98
2024-02-01,10,48098.24
2024-02-02,10,48066.92
2024-02-03,10,48086.08
2024-02-04,10,48161.66
2024-02-05,10,48215.77
2024-02-06,10,48279.8
2024-02-07,10,48259.65
2024-02-08,10,48220.37
2024-02-09,10,48215.64
2024-02-10,10,48218.17
2024-02-11,10,48262.23
2024-02-12,10,48194.83
2024-02-13,10,48256.32
2024-02-14,10,48250.3
2024-02-15,10,48233.52
2024-02-16,10,48193.34
2024-02-17,10,48127.44
2024-02-18,10,48160.67
2024-02-19,10,48163.9
2024-02-20,10,48112.6
2024-02-21,10,48061.1
2024-02-22,10,48047.97
2024-02-23,10,48115.03
2024-02-24,10,48104.95
2024-02-25,10,48045.12
2024-02-26,10,48035.59
2024-02-27,10,48024.98
2024-02-28,10,47917.41
2024-02-29,10,47915.54
2024-03-01,10,47906.6
2024-03-02,10,47934.75
2024-03-03,10,48009.0
2024-03-04,10,48054.37
2024-03-05,10,48043.91
2024-03-06,10,47999.95
2024-03-07,10,48103.18
2024-03-08,10,48105.85
2024-03-09,10,48106.71
2024-03-10,10,48106.05
2024-03-11,10,48114.27
2024-03-12,10,48108.79
2024-03-13,10,48086.15
2024-03-14,10,48064.57
2024-03-15,10,48063.56
2024-03-16,10,48042.13
2024-03-17,10,48013.91
2024-03-18,10,48018.47
2024-03-19,10,48008.57
2024-03-20,10,48069.03
2024-03-21,10,47963.29
2024-03-22,10,48007.25
2024-03-23,10,48057.4
2024-03-24,10,47974.76
2024-03-25,10,47961.35
2024-03-26,10,47946.79
2024-03-27,10,47890.79
2024-03-28,10,47859.98
2024-03-29,10,47815.86
2024-03-30,10,47886.25
2024-03-31,10,47923.98
2024-04-01,10,47975.14
2024-04-02,10,48004.31
2024-04-03,10,47959.44
2024-04-04,10,47938.76
2024-04-05,10,47958.64
2024-04-06,10,47910.05
2024-04-07,10,47938.87
2024-04-08,10,47929.56
2024-04-09,10,47914.87
2024-04-10,10,47943.61
2024-04-11,10,47961.68
2024-04-12,10,47947.54
2024-04-13,10,47994.21
2024-04-14,10,47951.27
2024-04-15,10,47976.2
2024-04-16,10,48000.23
2024-04-17,10,47988.15
2024-04-18,10,48001.49
2024-04-19,10,47951.75
2024-04-20,10,47989.01
2024-04-21,10,47981.91
2024-04-22,10,47961.3
2024-04-23,10,48003.56
2024-04-24,10,47975.69
2024-04-25,10,47919.65
2024-04-26,10,47857.69
2024-04-27,10,47882.23
2024-04-28,10,47831.31
2024-04-29,10,47901.8
2024-04-30,10,47818.82
2024-05-01,10,47886.98
2024-05-02,10,47895.72
2024-05-03,10,47892.16
2024-05-04,10,47870.66
2024-05-05,10,47886.92
2024-05-06,10,47885.72
2024-05-07,10,47930.15
2024-05-08,10,47935.02
2024-05-09,10,47941.33
2024-05-10,10,47927.09
2024-05-11,10,47925.11
2024-05-12,10,47937.72
2024-05-13,10,47869.61
2024-05-14,10,47815.99
2024-05-15,10,47846.02
2024-05-16,10,47853.15
2024-05-17,10,47846.09
2024-05-18,10,47847.13
2024-05-19,10,47861.33
2024-05-20,10,47840.04
2024-05-21,10,47809.21
2024-05-22,10,47817.35
2024-05-23,10,47778.51
2024-05-24,10,47795.14
2024-05-25,10,47727.34
2024-05-26,10,47768.8
2024-05-27,10,47788.01
2024-05-28,10,47798.55
2024-05-29,10,47838.16
2024-05-30,10,47905.07
2024-05-31,10,47945.95
2024-06-01,10,47872.61
2024-06-02,10,47821.73
2024-06-03,10,47797.04
2024-06-04,10,47798.38
2024-06-05,10,47819.39
2024-06-06,10,47790.66
2024-06-07,10,47798.43
2024-06-08,10,47768.51
2024-06-09,10,47744.35
2024-06-10,10,47688.39
2024-06-11,10,47651.76
2024-06-12,10,47597.99
2024-06-13,10,47559.26
2024-06-14,10,47601.7
2024-06-15,10,47564.03
2024-06-16,10,47669.62
2024-06-17,10,47689.65
2024-06-18,10,47697.35
2024-06-19,10,47663.31
2024-06-20,10,47691.62
2024-06-21,10,47668.9
2024-06-22,10,47674.08
2024-06-23,10,47776.78
2024-06-24,10,47773.24
2024-06-25,10,47819.51
2024-06-26,10,47791.68
2024-06-27,10,47790.59
2024-06-28,10,47861.72
2024-06-29,10,47836.94
2024-06-30,10,47909.74
2024-07-01,10,47938.35
2024-07-02,10,47916.15
2024-07-03,10,47941.74
2024-07-04,10,47980.95
2024-07-05,10,48006.12
2024-07-06,10,47943.61
2024-07-07,10,47914.82
2024-07-08,10,47905.22
2024-07-09,10,47902.55
2024-07-10,10,47927.67
2024-07-11,10,47935.08
2024-07-12,10,47881.97
2024-07-13,10,47897.48
2024-07-14,10,47922.2
2024-07-15,10,47944.89
2024-07-16,10,47988.42
2024-07-17,10,48022.08
2024-07-18,10,48040.75
2024-07-19,10,48038.24
2024-07-20,10,47972.1
2024-07-21,10,47989.59
2024-07-22,10,47998.19
2024-07-23,10,48009.36
2024-07-24,10,47958.59
2024-07-25,10,47915.64
2024-07-26,10,47958.07
2024-07-27,10,47956.79
2024-07-28,10,47984.35
2024-07-29,10,47985.78
2024-07-30,10,47987.27
2024-07-31,10,48025.1
2024-08-01,10,48004.76
2024-08-02,10,48008.91
2024-08-03,10,47990.71
2024-08-04,10,47973.63
2024-08-05,10,47961.57
2024-08-06,10,47970.75
2024-08-07,10,47951.9
2024-08-08,10,48002.43
2024-08-09,10,47966.95
2024-08-10,10,47959.77
2024-08-11,10,47942.48
2024-08-12,10,48000.66
2024-08-13,10,48008.83
2024-08-14,10,48050.4
2024-08-15,10,47991.28
2024-08-16,10,48002.26
2024-08-17,10,48038.14
2024-08-18,10,48041.74
2024-08-19,10,48084.66
2024-08-20,10,48064.26
2024-08-21,10,48120.94
2024-08-22,10,48213.19
2024-08-23,10,48198.98
2024-08-24,10,48181.46
2024-08-25,10,48239.9
2024-08-26,10,48303.38
2024-08-27,10,48282.76
2024-08-28,10,48266.26
2024-08-29,10,48255.28
2024-08-30,10,48201.81
2024-08-31,10,48165.36
2024-09-01,10,48125.49
2024-09-02,10,48095.08
2024-09-03,10,48094.0
2024-09-04,10,48103.66
2024-09-05,10,48165.98
2024-09-06,10,48126.35
2024-09-07,10,48166.02
2024-09-08,10,48157.76
2024-09-09,10,48156.08
2024-09-10,10,48183.38
2024-09-11,10,48138.77
2024-09-12,10,48154.37
2024-09-13,10,48161.32
2024-09-14,10,48181.32
2024-09-15,10,48193.19
2024-09-16,10,48291.7
2024-09-17,10,48266.49
2024-09-18,10,48245.55
2024-09-19,10,48220.92
2024-09-20,10,48199.01
2024-09-21,10,48173.81
2024-09-22,10,48221.67
2024-09-23,10,48278.79
2024-09-24,10,48256.26
2024-09-25,10,48223.27
2024-09-26,10,48242.42
2024-09-27,10,48220.63
2024-09-28,10,48246.25
2024-09-29,10,48254.67
2024-09-30,10,48194.34
2024-10-01,10,48256.54
2024-10-02,10,48328.67
2024-10-03,10,48304.46
2024-10-04,10,48289.26
2024-10-05,10,48300.99
2024-10-06,10,48314.67
2024-10-07,10,48341.31
2024-10-08,10,48422.02
2024-10-09,10,48415.24
2024-10-10,10,48383.61
2024-10-11,10,48328.74
2024-10-12,10,48299.8
2024-10-13,10,48298.77
2024-10-14,10,48370.86
2024-10-15,10,48350.45
2024-10-16,10,48359.7
2024-10-17,10,48359.35
2024-10-18,10,48407.18
2024-10-19,10,48508.56
2024-10-20,10,48487.62
2024-10-21,10,48468.35
2024-10-22,10,48510.41
2024-10-23,10,48537.99
2024-10-24,10,48612.16
2024-10-25,10,48635.81
2024-10-26,10,48621.74
2024-10-27,10,48645.67
2024-10-28,10,48690.32
2024-10-29,10,48723.44
2024-10-30,10,48744.03
2024-10-31,10,48786.99
2024-11-01,10,48834.07
2024-11-02,10,48889.65
2024-11-03,10,48915.9
2024-11-04,10,48909.52
2024-11-05,10,48915.68
2024-11-06,10,48964.24
2024-11-07,10,48931.87
2024-11-08,10,48946.91
2024-11-09,10,48931.48
2024-11-10,10,48932.93
2024-11-11,10,48984.37
2024-11-12,10,48992.31
2024-11-13,10,48994.47
2024-11-14,10,48940.38
2024-11-15,10,48970.53
2024-11-16,10,48996.64
2024-11-17,10,49083.48
2024-11-18,10,49071.46
2024-11-19,10,49080.53
2024-11-20,10,49090.81
2024-11-21,10,49154.2
2024-11-22,10,49150.69
2024-11-23,10,49162.15
2024-11-24,10,49186.77
2024-11-25,10,49194.53
2024-11-26,10,49176.98
2024-11-27,10,49185.04
2024-11-28,10,49228.28
2024-11-29,10,49187.52
2024-11-30,10,49193.14
2024-12-01,10,49165.44
2024-12-02,10,49213.54
2024-12-03,10,49152.91
2024-12-04,10,49130.86
2024-12-05,10,49146.24
2024-12-06,10,49209.16
2024-12-07,10,49206.83
2024-12-08,10,49184.93
2024-12-09,10,49260.47
2024-12-10,10,49202.85
2024-12-11,10,49115.2
2024-12-12,10,49133.1
2024-12-13,10,49113.32
2024-12-14,10,49072.77
2024-12-15,10,49101.4
2024-12-16,10,49111.46
2024-12-17,10,49089.19
2024-12-18,10,49038.28
2024-12-19,10,49073.48
2024-12-20,10,49099.79
2024-12-21,10,49096.12
2024-12-22,10,49170.28
2024-12-23,10,49127.78
2024-12-24,10,49067.06
2024-12-25,10,49039.68
2024-12-26,10,49038.16
2024-12-27,10,49048.19
2024-12-28,10,49038.84
2024-12-29,10,49053.23
2024-12-30,10,49003.47
2024-12-31,10,49061.52
2025-01-01,10,49058.53
2025-01-02,10,49103.52
2025-01-03,10,49117.53
2025-01-04,10,49136.1
2025-01-05,10,49159.19
2025-01-06,10,49177.4
2025-01-07,10,49203.41
2025-01-08,10,49256.88
2025-01-09,10,49265.04
2025-01-10,10,49293.7
2025-01-11,10,49290.41
2025-01-12,10,49348.31
2025-01-13,10,49321.56
2025-01-14,10,49393.89
2025-01-15,10,49392.59
2025-01-16,10,49335.66
2025-01-17,10,49341.08
2025-01-18,10,49314.14
2025-01-19,10,49348.06
2025-01-20,10,49322.26
2025-01-21,10,49304.71
2025-01-22,10,49229.43
2025-01-23,10,49211.64
2025-01-24,10,49114.98
2025-01-25,10,49051.93
2025-01-26,10,49082.64
2025-01-27,10,49114.37
2025-01-28,10,49131.69
2025-01-29,10,49093.31
2025-01-30,10,49091.71
2025-01-31,10,49091.86
2025-02-01,10,49045.83
2025-02-02,10,49106.26
2025-02-03,10,49141.66
2025-02-04,10,49133.12
2025-02-05,10,49134.49
2025-02-06,10,49143.13
2025-02-07,10,49061.76
2025-02-08,10,49052.17
2025-02-09,10,49025.19
2025-02-10,10,48985.43
2025-02-11,10,48974.48
2025-02-12,10,49046.69
2025-02-13,10,49072.63
2025-02-14,10,49050.08
